"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SOD3",0.112272334252668,3.58524184905485,6.56333741732636,1.84267803897247e-06,8.8445783234938e-06,4.58926763852322
"ORM2",0.112242151862252,3.74944793497475,3.44900645862443,0.00245298092737457,0.00506169412761178,-2.6347267679354
"CREBBP",0.112230535478367,2.25769489821813,3.81553771370592,0.00103566951019214,0.00234283408364609,-1.78772523175011
"MARCO",0.11222880377495,4.42138368103387,5.21100544247869,3.85804922533054e-05,0.000127598601186939,1.50267117886656
"RHEB",0.112219207335528,2.09010328417205,5.99253053042181,6.48414725607181e-06,2.66055718555769e-05,3.30923674003765
"RPL32P16",0.112192408514108,11.5188390133845,9.92324956457743,2.65936308204284e-09,3.67845094535695e-08,11.2742239622452
"STEAP1B",0.112176729202323,8.58454593089565,2.30805333425624,0.0314691084133295,0.0492656971077137,-5.064639145109
"SEPTIN7",0.112170322344747,0.224484285554137,3.05353906639295,0.00612105213278144,0.0114784292886805,-3.52164087999661
"CDK16",0.11214006424229,4.66808408805762,4.86079602512233,8.73917140427427e-05,0.00026258523933162,0.67864012371985
"ELOA2",0.112103161008628,3.69129939662531,7.38119302861003,3.26965956667481e-07,2.00725121816096e-06,6.35333802505557
"CENPS-CORT",0.112005503899622,4.1351797330967,4.37307458291928,0.000276302611722824,0.000722993715922045,-0.475236640886765
"ISG15",0.111933838511707,9.16382477275241,1.6323422985727,0.11778567310332,0.158524785051089,-6.23119433353083
"FAM13A",0.111925070964691,8.84902727441223,3.78204172167734,0.00112098797444585,0.00251583806532661,-1.86584457236845
"BIRC7",0.111895308270892,6.8811427428975,5.59123455395111,1.60723097686976e-05,5.91272619643614e-05,2.38832958053335
"PROC",0.111869687732605,0.928057455751728,4.68123117988654,0.000133339673157772,0.000379623800457632,0.254186610256291
"SLC3A1",0.111849281303991,2.06424469150154,6.95555683154142,7.95244069514337e-07,4.28254649041237e-06,5.44601313818992
"RASSF7",0.111828692443741,8.56489567934774,7.69576819073038,1.72192883941517e-07,1.18046149451556e-06,7.00851744951876
"GDAP1",0.111827852854398,5.91587797375826,5.14486994416131,4.49889440580895e-05,0.000146336910746227,1.34756471335664
