,GSM1550052,GSM1550053,GSM1550054,GSM1550055,GSM1550056,GSM1550057,GSM1550058,GSM1550059,GSM1550060,GSM1550061
1367550_a,1.304484018,0.999938872,1.211397998,1.313268164,1.362137233,1.187741632,1.364372294,1.272646081,1.217089536,1.230986833
1367551_a,1.365456733,1.263582322,1.344178231,1.707012125,1.124416762,1.359234185,1.368176235,1.432032952,1.461381219,1.12444833
1415670,1.436268042,1.394559827,1.267579411,1.657331014,1.752540196,1.395673768,1.387052948,1.276446059,1.438346429,1.14697121
1415671,1.354408994,1.40529607,1.352828648,1.419090106,1.307734151,1.312703281,1.15498022,1.307734151,1.229046819,1.011252848
1415672,1.518958781,1.19223187,1.074614089,1.015766776,1.388932051,1.169734152,1.475471939,1.176080499,1.229953886,1.189312591
1415673,1.272646081,1.600136502,1.314519877,1.130685315,1.185496244,1.192712702,1.635466974,1.288911272,1.339014808,1.349558045
1415674_a,1.382130157,1.261457693,1.045584546,1.342586433,1.61925528,1.196284327,1.61925528,0.931352177,1.261457693,1.373187151
1415675,1.111492959,1.313669266,1.239508355,1.372114505,1.373384733,1.386733838,1.301433037,1.215295742,1.266851796,1.068773053
1415676_a,1.430803401,1.891112579,1.225145697,1.577717995,1.385364005,1.264136039,1.304066745,1.107656462,1.43383176,1.388053986
1415677,1.173782908,1.191306137,1.302344179,1.144849846,1.384806319,1.250678607,1.358674706,1.226511208,0.99854774,1.09685847
1415678,1.779873071,1.583586536,1.375554216,1.566277269,1.408417539,1.50038852,1.478612524,1.517991318,1.786504232,0.990918695
1415679,1.2674922,1.082750547,1.374296521,1.273080892,1.787797875,1.110690991,1.284107525,0.934257956,1.120673838,1.356023176
1415680,1.20002015,1.274607033,1.481011453,1.302527596,1.483207137,1.103574607,1.147548839,1.272646081,1.655423389,1.139534357
1415681,1.156562906,1.193995748,1.241684294,1.280684063,1.156562906,1.209716732,1.349121583,1.006340326,1.148227303,1.140432727
1415682,1.436268042,1.361879059,1.389197647,1.251031243,1.196485433,1.209490753,1.519308156,1.270221696,1.144954568,1.60961501
1415683,1.318735096,1.282867864,1.170323895,1.252010427,1.388932051,1.390959532,1.247014396,1.080829955,1.255902709,1.196329274
1415684,1.150849414,1.117752987,1.387624846,1.438404144,1.244341209,1.254798209,1.475218597,1.264309544,1.271356693,1.7021681
