"","GSM1550052","GSM1550053","GSM1550054","GSM1550055","GSM1550056","GSM1550057","GSM1550058","GSM1550059","GSM1550060","GSM1550061"
"1367490_st",1.43626804235647,1.05622977768532,1.25955262326312,1.19399574788577,1.17629451105154,1.09868153784287,1.22263083280501,1.02645710237036,1.16844123920911,1.02645710237036
"1367491_st",1.48401333962525,1.27271945428168,1.60073937756296,1.23832309884897,1.22135762423625,1.33094089195785,1.54748288667848,1.290316504969,1.65921011652547,1.35709220074734
"1367492_st",1.08765193634472,1.18651536744901,1.09195900414844,1.4968510719879,1.2023823960572,1.40966252157932,1.25512032205968,1.37336579456783,1.01022645964208,1.28958528841402
"1367493_st",1.22090448101522,1.36912206359697,1.36877526065555,1.23225029251216,1.42192074169329,1.1247595538157,1.33968758147434,1.3037038870324,1.31090062592079,1.97182589890807
"1367494_st",1.75907290093395,1.35711160479306,1.40641756895376,1.35711160479306,1.40641756895376,1.95014841741004,1.75472754100463,1.59815157527119,1.36715058617415,1.33393560739205
"1367495_st",1.17944922426712,1.14120036536827,1.34263745192219,1.2354573864091,1.3727133498995,1.44600037703262,1.17160066888831,1.44087807764368,1.60944975633851,1.01028108847081
"1367496_st",1.12425878559269,1.04882419743689,1.27704220280054,1.31782353086573,1.80639183494125,1.18774163193904,1.11313617785107,1.23188183979179,1.12460727079848,1.62302551300121
"1367497_st",1.18659893994185,1.12511276278554,1.19399574788577,1.02837298254374,1.13206103796306,1.07310043355603,1.23927694709938,1.19399574788577,1.25541139873932,1.26287873298599
"1367498_st",1.34292045330111,1.39841860873304,1.41330779078071,1.50612026723792,1.33687463768361,1.16526896154349,1.48553529438649,1.31935721158122,1.75386800630032,1.37446025282225
"1367499_st",1.33648809530676,1.26868699434091,1.12781978601894,1.36809034869286,1.28417602677498,1.51736993637717,1.21285572992702,1.38633621356416,1.2403916171597,1.44048994027593
"1367500_st",1.13766806516953,1.15738082962899,1.14398675501519,1.04503929635853,1.24363870458403,1.03865286620336,1.11398773296847,1.23303824397566,1.23267528063627,1.19399574788577
