"","GSM1550052","GSM1550053","GSM1550054","GSM1550055","GSM1550056","GSM1550057","GSM1550058","GSM1550059","GSM1550060","GSM1550061","GSM1571226","GSM1571227","GSM1571228","GSM1571229","GSM1571230","GSM1571231","GSM2419971","GSM2419972","GSM2419973"
"hsa-miR-1263",-0.540107746472946,-1.18970404321955,-0.781453136384075,-0.73080176052097,-0.854879346250248,-0.927851570759356,-0.837357652194202,-0.50064425995152,-0.824027537561681,-0.507134800826723,-0.703330943175564,-0.82541934597842,-0.83511720016101,-0.721083006589323,-0.399168294332803,-0.80118714254984,-0.89475977899476,-0.780011778497825,-0.584133998869177
"hsa-miR-1264",-1.01277126449868,-0.942498400593246,-0.946563311352197,-0.959264958460888,-0.598119421756115,-0.969605675919671,-1.02923648321173,-0.472204723255671,-0.875860638209267,-0.743991404301057,-0.800317472000129,-0.917796910689391,-0.927128660795916,-0.817399376567201,-0.507637279320511,-0.894479498128999,-0.988688338495598,-0.86485934039003,-0.674349783009303
"hsa-miR-1265",-0.966814517653864,-0.725580478007131,-0.796951281121357,-0.821991773960489,-0.814854233030302,-1.03002001451571,-0.677065350941465,-0.753056729229487,-0.873621440329349,-1.17999768472494,-0.871135006262048,-0.980938475393539,-0.989660499827746,-0.887100799100051,-0.597578196143985,-0.959144595384685,-1.01933415042879,-0.87902136316272,-0.721628894857053
"hsa-miR-1266",-0.914270854852849,-0.818923981916868,-1.04640458942931,-0.892070741335822,0.119218046939212,-0.821442825590174,-0.987716735728487,-0.766968702728459,-0.965439718736406,-0.784421343206398,-0.820886471740258,-0.957716410740176,-0.968585230101968,-0.840782003979709,-0.479997773618679,-0.930558295465949,-0.989726591904006,-0.797482803763309,-0.614568564926079
"hsa-miR-1267",-0.74454858200626,-0.857295134349896,-0.679953681663536,-0.651213463601356,-1.06528140487974,-0.897729901628338,-0.832573556581232,-0.666759513099869,-0.827169938242257,-0.504635927904158,-0.727686237254247,-0.83776154336473,-0.846505160639232,-0.743691556101097,-0.453452191185141,-0.815913708935774,-0.910841238052828,-0.78265032193706,-0.600421510851921
"hsa-miR-127-3p",3.93241850385041,3.89618193838693,3.97331419943152,0.122023732085356,1.85261342995481,4.01367899690382,2.65421553453382,2.75592824001599,2.76010453286611,-2.36037705196124,2.10619781771191,1.95441288769915,1.94235614779114,2.08412777960034,2.48434435175776,1.98453928150088,1.91886094771745,2.41881998082921,2.62225670244822
"hsa-miR-127-5p",-0.408022322257948,-0.498580038486588,0.0206686701510362,-0.996206537258525,-0.803143280808061,-0.290702682427669,-0.738858139350408,-0.909952793667847,-0.804125966160054,-0.861171120295378,-0.674861125104259,-0.810737903115624,-0.821531009993123,-0.694618064537811,-0.336347066706,-0.783768971993573,-0.834612225687408,-0.642230474004165,-0.464276094457009
"hsa-miR-1270",-0.518761108344722,0.118688875616738,-0.406659848692249,-0.722146190218233,-1.01771119275012,-0.133389277270713,-0.831037376830955,-0.703692735615127,-0.745144461474426,-1.14931236143337,-0.662716485438248,-0.802936172651946,-0.814074250052489,-0.683104898441689,-0.313382801782066,-0.775105257452401,-0.829562953845613,-0.62046945992069,-0.436488944464715
"hsa-miR-1272",-1.01440771137031,-0.81436154820477,-1.09738921950077,-0.743136301006593,-0.789411843681931,-0.812677414598386,-1.00034830458734,-0.780853658808382,-0.646117780520124,-0.954794586210697,-0.821042515361276,-0.927018832490726,-0.935436854569277,-0.836451827456845,-0.557020408488897,-0.905984568659465,-1.00189864623808,-0.874546185996489,-0.695996666709505
"hsa-miR-1273c",2.27349426137312,2.38520820289288,2.21436578382228,1.69017427893285,1.67701349486119,1.60291569372574,1.79576824047906,1.52022176437723,1.46944507100603,1.4487212501268,1.48611065949322,1.92607285005243,1.96056188647625,1.50545041763757,1.88227278238763,1.16707456106916,1.59170540539463,1.75045795171934,1.89672845127856
"hsa-miR-1273d",1.21259757587491,0.73780179070482,0.438188153304854,0.930303375562499,1.97519699176179,1.28045649830632,0.833976617472704,1.44618903921761,0.916446050228644,1.11399365578208,1.72169674074783,1.51747328679566,1.62973657621721,1.51747328679566,-1.85287698780369,1.41851801518234,2.27826808299087,0.388424157226326,0.573641690480076
"hsa-miR-1275",5.92721081079093,5.1453612688165,4.43558744856579,7.49498245809954,8.36837754082187,6.9458096739257,4.85574549889551,6.4657007255465,6.16884424098141,9.23567931236203,6.94059175944081,6.76080709571668,6.81733783275034,6.50417965077184,6.86700883598255,6.30854500810091,7.2207109523454,6.63745480450783,6.02597216768171
"hsa-miR-1276",-0.621498196290162,-0.842863439131224,-0.58862448678751,-0.624520766940908,-0.972116979782178,-0.673478420399978,-0.75111111672332,-0.989294918425542,-0.757937564735574,-1.03555050036878,-0.806424716000507,-0.918470546385342,-0.927370688412706,-0.822716555688596,-0.527281441297588,-0.896231600728942,-0.9445563579407,-0.804146107534199,-0.650580542111552
"hsa-miR-1278",-0.720629177007105,-0.823476292560672,-1.14738020829146,-0.94848161172859,-0.188306149124529,-0.97405631588216,-1.02999664306815,-0.785396906350556,0.0467300892308076,-0.556897361723425,-0.637991251123189,-0.778204303377322,-0.789341853742791,-0.658378699381248,-0.28867409734888,-0.750374705089836,-0.831928730804677,-0.719463091959695,-0.514426838035077
