"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-miR-578",0.0824240394270755,-0.840688967108723,1.16659559378559,0.258275859902605,0.703758574544916,-5.30831185301299
"hsa-miR-553",0.0806624202969455,-0.831131570921022,1.15159916826942,0.264234483926787,0.703758574544916,-5.32418535981725
"hsa-miR-3146",0.0805184306173591,-0.816082621545419,1.05502602179011,0.305074198037504,0.731936909916067,-5.42214624052301
"hsa-miR-548n",0.0798143213980171,-0.875313709138581,1.39535534235011,0.179527502114233,0.648594929523819,-5.04512760355972
"hsa-miR-1302",0.0791857678981011,-0.859611253746819,0.946482579127479,0.356170939838428,0.758581615726056,-5.52320043550962
"hsa-miR-4258",0.0785300972877351,-0.634429372996705,1.30912273819801,0.206611118200114,0.648721763932166,-5.14887029556625
"hsa-miR-507",0.0779998935483203,-0.883406550680946,1.186877174912,0.250378537686199,0.693971563358551,-5.28656604308001
"hsa-miR-199b-5p",0.0778852575590514,-0.680960676363145,0.62169707471873,0.541770242021335,0.875130903880816,-5.76496034575459
"hsa-miR-892a",0.0776273960252278,-0.897920447284721,1.22191678588341,0.237167245128031,0.669583803687046,-5.24825066043167
"hsa-miR-518a-5p",0.0766521637306284,-0.368001464388561,0.26979358033119,0.790322421205034,0.94946160690924,-5.9173826405974
"hsa-miR-548w",0.0755044415529953,-0.817458726412199,1.02074281704617,0.320614126568533,0.739113174326711,-5.4551150719558
"hsa-miR-548s",0.075342554991593,-0.881837199604765,1.32387636694198,0.201761288477866,0.648594929523819,-5.13150070044195
"hsa-miR-125a-3p",0.0752749645185355,3.78160298310366,0.446429107167159,0.660498263670639,0.927363603794833,-5.85558678868039
"hsa-miR-1469",0.0747630102401073,5.52463455274525,0.149384160628063,0.882876149559136,0.967705224584515,-5.94216298609878
"hsa-miR-1253",0.0738374706013918,-0.916040151987828,1.03974627524553,0.31193219799076,0.732164196829465,-5.4369587562487
"hsa-miR-455-5p",0.0730821439089413,-0.904055894359745,1.22296428093272,0.236780661645011,0.669583803687046,-5.24709080138617
"hsa-miR-944",0.072779560544172,-0.963752895652949,1.10083071006114,0.28516752682412,0.715275573480333,-5.37661068213597
"hsa-miR-520d-3p",0.0710745746338104,-0.848732350529238,0.962225176998923,0.34841583563219,0.758581615726056,-5.50915126977659
"hsa-miR-514b-3p",0.071069442763143,-0.835585977706174,0.985514013673368,0.337157911758772,0.75440605415031,-5.48798680054829
"hsa-miR-637",0.069935454415286,-0.830438679504277,1.01794000885098,0.321908965993152,0.739113174326711,-5.45776786658927
"hsa-miR-2110",0.0692546564948415,2.15351622050765,0.505277805296529,0.619364112177988,0.919202973330168,-5.8283725673502
"hsa-miR-4309",0.0692513590621592,-0.438980416309021,0.204025748094445,0.840573633961344,0.94946160690924,-5.93267351830133
"hsa-miR-301b",0.0682718930856903,-0.829619368459048,0.949436722945359,0.35470675060128,0.758581615726056,-5.5205799595712
"hsa-miR-1976",0.0678993700091955,-0.304293033444915,0.120970163378784,0.905026281280885,0.968872932517631,-5.94594083621055
"hsa-miR-4302",0.067389167812119,-0.86247350136962,1.32434224779689,0.201609619448619,0.648594929523819,-5.13094963216569
"hsa-miR-519c-3p",0.0660692559564449,-0.923576083236233,0.879616849429331,0.390413707666953,0.779543159716581,-5.58053246895222
"hsa-miR-653",0.0650443790215207,-0.896685648425265,0.904125098030825,0.377618037856504,0.769174996573484,-5.55996128118989
"hsa-miR-4267",0.0634874752933409,-0.731949262509781,0.912976948569346,0.373066057203691,0.763302426704375,-5.55240504397206
"hsa-miR-448",0.0621120147001564,-0.939008319176425,0.862720824779063,0.399399439054294,0.787825059072675,-5.59441335975841
"hsa-miR-4269",0.0613665624868172,0.329169492208828,0.123327060387474,0.903185651560534,0.968872932517631,-5.94565761383838
"hsa-miR-3167",0.0607798059639758,-0.909165098563414,0.93132503908736,0.363748437009582,0.7595008112101,-5.53653008287605
"hsa-miR-4307",0.0605710307491935,-0.836663121112165,0.763600126572978,0.454788731408622,0.83149626495492,-5.67083017165277
"hsa-miR-516a-3p",0.0590360058479049,-0.832018677341475,0.979248829128282,0.340161359548557,0.756329469765474,-5.49372500484505
"hsa-miR-554",0.0586456510825207,-0.86427237511163,0.725173031065135,0.477470464644655,0.831708133698455,-5.69811666849472
"hsa-miR-938",0.0584371759403217,-0.878222056457618,0.814324393965262,0.425876173024581,0.804633664044574,-5.63280184863354
"hsa-miR-1279",0.0583868035338067,-0.91410521540705,0.717317596679395,0.482188526174307,0.831708133698455,-5.7035317389085
"hsa-miR-515-5p",0.0581909538126361,-0.853957142041153,0.861238141080054,0.400194355682683,0.787825059072675,-5.59561968275875
"hsa-miR-1322",0.0579957844546741,-0.854333464412968,0.970362254274595,0.344453238100788,0.758581615726056,-5.50180795657929
"hsa-miR-3199",0.0576624784865638,-0.848771332236161,0.874873893468573,0.39292260738578,0.781980402239896,-5.584453901825
"hsa-miR-548v",0.0575980875441289,-0.850713866217853,0.786896572903959,0.441363410069473,0.811182339324607,-5.65364708814865
"hsa-miR-1261",0.0570813204675508,-0.475625414531788,0.170991106237215,0.866097597118334,0.961181276209043,-5.93876009669355
"hsa-miR-935",0.0557120474373342,-0.780192058649701,0.796205232407844,0.436068413621104,0.809293437125379,-5.64664680099326
"hsa-miR-548a-5p",0.0544696411779299,-0.883506376024336,0.729131283973242,0.47510349439033,0.831708133698455,-5.69536706366325
"hsa-miR-941",0.05417607440631,1.17934056622657,0.108505422938443,0.914769621674276,0.9743529349335,-5.94734795694293
"hsa-miR-1538",0.0540181637420586,-0.780104473665517,0.798234345937826,0.434919488698178,0.809293437125379,-5.64511071637178
"hsa-miR-4254",0.0533791158392515,-0.717695945807473,0.669801365567989,0.511305566516058,0.852155006745984,-5.73509812807252
"hsa-miR-632",0.0528510894635588,-0.889853701566701,0.809803708372013,0.428404924542278,0.804633664044574,-5.63628316252025
"hsa-miR-504",0.0521697101860348,-0.744521757100537,0.397852803606091,0.695318044327954,0.937469426000471,-5.87557049718645
"hsa-miR-520g",0.0519323208357778,-0.933069107006332,0.708886706498745,0.487282634606897,0.831708133698455,-5.70928166797336
"hsa-miR-562",0.0518510535532746,-0.908123607060812,0.855217284397253,0.403432914107882,0.787825059072675,-5.60049873340093
"hsa-miR-512-3p",0.051809842250269,-0.66908805084943,0.612340344259759,0.547808181020387,0.875130903880816,-5.77052201366347
"hsa-miR-520h",0.0512427491407774,-0.882019309121704,0.652899644386212,0.521898122516972,0.856659625807078,-5.74583176204767
"hsa-miR-4288",0.0509801287848145,-0.633285257731996,0.536470445499191,0.598062287786568,0.914417654122033,-5.81262292434676
