"","LINC00342","GS1-600G8.3","RFPL3S","MCF2L-AS1","DELEC1","KIAA0087","RNF185-AS1","ZNNT1","DDR1-DT","SNHG3","FAM182B","KCNK4-TEX40","TTTY1B","HEXIM2-AS1","FAM215A","ADD3-AS1","SMIM10L1","LINC00623","ENTPD1-AS1","BTG2-DT","MAGEA10-MAGEA5","DTX2P1-UPK3BP1-PMS2P11","ELOA-AS1","HHLA3","C3orf36","riskscore"
"GSM1369825",4.42592362305462,5.54817198823647,5.2789250752721,6.3295986899351,5.29358063869417,4.73743253569968,6.24835604684601,6.1246511924345,4.44375930127764,4.80514463520093,6.07608644996971,7.06193001310267,6.37480573768068,6.22851675367773,6.36796398908708,6.43970718784783,5.1417912947665,7.42937774459154,6.78448234534427,6.38245459995911,5.20310549543665,11.1099993593514,6.04376915634513,5.07804898665764,6.12767249281968,4.69170245658857
"GSM1369824",4.40961233099361,5.56670633296428,5.31388871069408,6.26634799891685,5.33834390573511,4.73852547310299,6.24543970722934,6.13961836661326,4.4533367953056,4.78601079991629,6.03917728139417,6.97491277927204,6.44713474810593,6.33880191537489,6.46414212320018,6.50076647879054,4.9982452095835,7.46728608959231,6.70769063495719,6.28785459863366,5.20585131676231,11.1321450946211,6.07061604933695,5.01695391907236,6.14121560551462,4.72212620444772
"GSM1369823",4.35476140633171,5.4668776928794,5.38331341819275,6.27409274970321,5.29386016105292,4.78295575661817,6.21363246025248,6.14033973001242,4.52287721231772,4.85787817874635,6.06542531218191,7.18879079283008,6.29356881250775,6.26222827249803,6.59448311860597,6.56454055229067,5.20114402303992,7.50895501820129,6.80821769631977,6.45254833663839,5.18006496832183,11.0948332137185,6.03433674794636,5.11717562727546,6.17504349762349,4.73460085253389
"GSM1369822",4.45544934346003,5.50650853929869,5.19693879443709,6.33008246455461,5.26406337069891,4.80609854955396,6.20445697521066,6.05812457103672,4.44950504938923,4.84610886336579,6.0759215378332,7.14888650042066,6.38328910357886,6.09613466225993,6.37099309816288,6.41575309274261,5.36148659097128,7.36107451598388,6.89209472270524,6.48770688385705,5.10170534858677,11.0973004105504,6.11538681832257,5.14905761475365,6.18977873410526,4.68152770416231
"GSM1369821",4.60324787572349,5.55521110548752,5.3524263835573,6.30086562680077,5.37183997102153,4.76465350325839,6.22675844535946,6.155674086392,4.58451749877184,4.96302095168371,6.14324631647474,7.12101269689548,6.45023177538566,6.30691038784082,6.35751478094661,6.5022346131483,5.28284898184027,7.25984189938541,6.7496007608996,6.51652938303712,5.22638416222534,11.2013593962083,6.02248959634304,5.08908692772457,6.04707484787845,4.72041299886792
"GSM1369820",4.33723555147914,5.57594841838691,5.29039901888373,6.28882198358286,5.27045111411478,4.76207302075047,6.13048224013745,6.17467578022726,4.40329637844712,4.76852974045919,6.17840677226971,7.09421687195298,6.52637198601289,6.17401668793497,6.43535675535773,6.53333511971349,5.01298512008739,7.60589330384343,6.84026889298272,6.30401714831947,5.23825295905996,11.1265253871854,6.08618952022649,5.01240578842303,6.23918191527203,4.69883201637764
"GSM1369819",4.60758352421723,5.48813140468245,5.28588779772615,6.24124646028341,5.15738129806969,4.67250233348202,6.3216157974105,6.4861915223348,4.57888414299399,4.69667584164331,6.08863007843492,6.92632897598964,6.39891974764249,6.38301778347374,6.45315526850258,6.3901586630514,5.02037368497151,7.6870866786547,6.81475430440778,6.42643512786096,5.08744982069531,11.1276644634212,5.87421719599472,5.12229092199126,6.10508216668754,4.65605028371566
"GSM1369818",4.3244077729773,5.53025226830635,5.17080622347329,6.38775685042757,5.39875305230076,4.76403353692397,6.19379088456391,5.75294637306973,4.36926579349848,4.85733257819887,5.97117439120783,7.10253031317372,6.30658602084917,6.22616433243732,6.32145590861831,6.42683186384853,5.17103298667973,7.19759999438429,6.68935249763914,6.34446810419523,5.06778778213174,11.0892675292466,6.32770460882916,5.09452628409276,6.16379097362383,4.71399144061802
"GSM1369817",4.4259236230545,5.54817198823635,5.27892507527197,6.32959868993496,5.29358063869405,4.73743253569955,6.24835604684587,6.12465119243435,4.44375930127754,4.80514463520081,6.07608644996958,7.06193001310251,6.37480573768056,6.22851675367757,6.36796398908695,6.43970718784771,5.14179129476632,7.42937774459134,6.78448234534412,6.38245459995898,5.20310549543653,11.1099993593512,6.04376915634498,5.07804898665752,6.12767249281955,4.69170245658847
"GSM1369816",4.42592362305461,5.54817198823645,5.27892507527208,6.32959868993508,5.29358063869415,4.73743253569967,6.24835604684599,6.12465119243448,4.44375930127763,4.80514463520092,6.0760864499697,7.06193001310265,6.37480573768066,6.22851675367771,6.36796398908707,6.43970718784782,5.14179129476649,7.42937774459153,6.78448234534426,6.3824545999591,5.20310549543664,11.1099993593514,6.04376915634511,5.07804898665762,6.12767249281967,4.69170245658857
"GSM1369815",4.42592362305453,5.54817198823638,5.27892507527201,6.329598689935,5.29358063869408,4.73743253569959,6.24835604684591,6.12465119243439,4.44375930127757,4.80514463520084,6.07608644996962,7.06193001310256,6.37480573768059,6.22851675367763,6.36796398908699,6.43970718784775,5.14179129476637,7.42937774459139,6.78448234534416,6.38245459995902,5.20310549543657,11.1099993593513,6.04376915634503,5.07804898665756,6.12767249281958,4.6917024565885
"GSM1369814",4.34612871018206,5.55835307207165,5.29559340941372,6.36095534316567,5.25861911998147,4.70720618563791,6.09550434725199,6.12149582938873,4.30825763283056,4.71584805469924,5.95905697525639,6.89075110442762,6.22681825760038,6.06677271336863,6.13770181755979,6.25845036684312,5.50570519896367,7.37428351751811,6.82734451443539,6.32363226047116,5.25354290413633,11.0917232767121,5.93321339809912,5.10585912701956,6.02241181754491,4.68512730509598
"GSM1369813",4.36213439791231,5.63793243148874,5.38858858972529,6.34839898161964,5.27878364756614,4.71278278601119,6.27959795466756,6.18267124866444,4.52883996932696,4.78061180579181,6.07236855794817,7.14388545299287,6.37881605444612,6.38878905499702,6.48955873619851,6.45408275568538,5.15898457695831,7.41820232542554,6.76477597903264,6.31127202443935,5.15122791579492,11.1109033946467,5.96462338406253,5.06533263712054,6.07235394493847,4.64909037193312
"GSM1369812",4.48971284819669,5.45841154498395,5.16926156081865,6.31079839825029,5.30837762982195,4.76208228538793,6.21711413902418,6.06663113620425,4.3586786332281,4.8296774646098,6.07980434199098,6.97997457321215,6.37079542091498,6.06824445235813,6.24636924197538,6.42533162001004,5.12459801257434,7.44055316375714,6.8041887116556,6.45363717547859,5.25498307507814,11.1090953240558,6.12291492862744,5.09076533619451,6.18299104070061,4.73431454124385
