,substanceBXH,geneSymbol,LocusLinkID,moduleColor,GS.Factor,p.GS.Factor,MM.grey,p.MM.grey,MM.blue,p.MM.blue,MM.brown,p.MM.brown,MM.greenyellow,p.MM.greenyellow,MM.pink,p.MM.pink,MM.salmon,p.MM.salmon,MM.tan,p.MM.tan,MM.magenta,p.MM.magenta,MM.black,p.MM.black,MM.green,p.MM.green,MM.turquoise,p.MM.turquoise
HIC1,HIC1,HIC1,3090,brown,0.520535114,7.4449E-07,0.585963797,1.12908E-08,0.601313523,3.67696E-09,0.663135851,2.0566E-11,-0.454671536,2.26714E-05,-0.492721409,3.43654E-06,0.433808602,5.82095E-05,0.592297911,7.1573E-09,-0.437993326,4.8415E-05,-0.397389843,0.000262295,0.116135415,0.304950661,-0.088515435,0.434931818
PNRC1,PNRC1,PNRC1,10957,brown,-0.520254446,7.56589E-07,-0.521579871,7.01043E-07,-0.551317385,1.15982E-07,-0.630551126,3.65229E-10,0.366208506,0.00083545,0.576011923,2.26647E-08,-0.459630447,1.79535E-05,-0.374840591,0.000613179,0.284677843,0.0104867,0.396376066,0.000272861,-0.219831007,0.050075089,0.287889294,0.009611403
RGS12,RGS12,RGS12,6002,brown,0.518994438,8.13226E-07,0.371878628,0.000682494,0.338961747,0.002100445,0.646455966,9.36371E-11,-0.196449743,0.080722747,-0.287623308,0.009681391,0.344915302,0.001729062,0.427779549,7.55869E-05,-0.504589009,1.81904E-06,-0.434103478,5.74632E-05,0.124221363,0.272273597,-0.06604699,0.560512151
CCL22,CCL22,CCL22,6367,brown,0.51897106,8.14313E-07,0.465522046,1.35425E-05,0.396337743,0.000273268,0.694786191,8.75095E-13,-0.409720085,0.0001606,-0.446828992,3.25507E-05,0.404718725,0.000196408,0.208239188,0.063794895,-0.57283088,2.8182E-08,-0.230015813,0.040115872,0.24468074,0.028712404,-0.24937417,0.025698672
SORBS2,SORBS2,SORBS2,8470,brown,0.517870855,8.67085E-07,0.411197428,0.000151239,0.389845868,0.000350844,0.739441173,4.75895E-15,-0.270258539,0.01532851,-0.502807919,2.00434E-06,0.320281495,0.003775798,0.214748908,0.055757673,-0.422453169,9.48226E-05,-0.441665005,4.11063E-05,0.110431604,0.329475164,-0.322187974,0.003562271
ROBO1,ROBO1,ROBO1,6091,brown,0.517718967,8.74619E-07,0.570539799,3.29233E-08,0.486022494,4.87039E-06,0.595137164,5.81586E-09,-0.583803946,1.31603E-08,-0.514993041,1.0208E-06,0.424438833,8.71758E-05,0.215694667,0.054662019,-0.435402742,5.42796E-05,-0.125696838,0.266574567,0.442425152,3.97276E-05,-0.251485368,0.024433142
ARMC6,ARMC6,ARMC6,93436,brown,0.517339017,8.93737E-07,0.499762659,2.36294E-06,0.510996462,1.27733E-06,0.703177593,3.53636E-13,-0.335201957,0.002370484,-0.407580683,0.000175108,0.447142943,3.20882E-05,0.52978515,4.3409E-07,-0.47680864,7.77531E-06,-0.350974887,0.001412901,0.170183026,0.131237557,-0.096635292,0.393810622
CKB,CKB,CKB,1152,brown,-0.516103592,9.58663E-07,-0.586965129,1.05126E-08,-0.558308464,7.40427E-08,-0.608098013,2.19695E-09,0.589330654,8.87199E-09,0.457211517,2.01268E-05,-0.333204825,0.002526249,-0.457878101,1.95046E-05,0.408578427,0.000168198,0.258785176,0.020457438,-0.182407118,0.105352751,0.059227186,0.60176422
ACSM2A,ACSM2A,ACSM2A,123876,brown,0.515960567,9.6646E-07,0.488189561,4.35434E-06,0.492664205,3.44689E-06,0.667568391,1.35252E-11,-0.351225269,0.001401041,-0.621524753,7.6433E-10,0.245732942,0.028012014,0.188277537,0.094426665,-0.258214636,0.020746859,-0.358080139,0.00110935,0.096703625,0.393474673,-0.446320321,3.33131E-05
FASLG,FASLG,FASLG,356,brown,0.515869144,9.71476E-07,0.550137833,1.24979E-07,0.5324427,3.70659E-07,0.654822462,4.42976E-11,-0.451174762,2.66682E-05,-0.461508549,1.64195E-05,0.576563756,2.18188E-08,0.460101341,1.75568E-05,-0.390779359,0.000338568,-0.316700335,0.004207932,-0.0195458,0.863368418,-0.123684897,0.274365821
GPR3,GPR3,GPR3,2827,brown,0.514922588,1.02487E-06,0.566351334,4.36154E-08,0.594021244,6.31167E-09,0.712798383,1.20297E-13,-0.484958043,5.14441E-06,-0.492870732,3.40964E-06,0.480150129,6.57235E-06,0.603463032,3.12746E-09,-0.4214201,9.90422E-05,-0.289216306,0.0092688,-0.029494003,0.795089781,-0.100717758,0.374039484
STK4,STK4,STK4,6789,brown,-0.514748337,1.035E-06,-0.415285857,0.000127892,-0.390407472,0.00034341,-0.570128443,3.38512E-08,0.268228596,0.016145428,0.248737281,0.026091193,-0.346346033,0.001649145,-0.453681269,2.37425E-05,0.515124586,1.01325E-06,0.345802979,0.001679078,-0.297660316,0.007328695,-0.064467135,0.56994801
STK19,STK19,STK19,8859,brown,0.514410276,1.05491E-06,0.485043369,5.12192E-06,0.530997498,4.03976E-07,0.646319322,9.47707E-11,-0.336754637,0.0022554,-0.495722775,2.93241E-06,0.333393282,0.002511168,0.472867491,9.4588E-06,-0.318520417,0.003983098,-0.256894714,0.021429868,-0.058840094,0.604145422,-0.201651798,0.072858318
ANKRD49,ANKRD49,ANKRD49,54851,brown,0.512631959,1.16576E-06,0.576960948,2.12287E-08,0.484717807,5.20822E-06,0.531035612,4.03062E-07,-0.564575116,4.90823E-08,-0.462051907,1.59991E-05,0.337820566,0.002179326,0.336199995,0.002295921,-0.358158708,0.001106353,-0.147772354,0.190836391,0.137222064,0.224829382,-0.090058358,0.426936326
SERPINI2,SERPINI2,SERPINI2,5276,brown,0.509990209,1.3509E-06,0.420511803,0.000102895,0.39443758,0.000294161,0.560363997,6.47618E-08,-0.301291522,0.006610833,-0.406340568,0.000184061,0.231771855,0.038577695,0.261136204,0.019300962,-0.292798735,0.008396711,-0.350248328,0.001447831,0.072711658,0.52154445,-0.187399973,0.096000891
MYL7,MYL7,MYL7,58498,brown,0.509622125,1.3788E-06,0.483349111,5.58619E-06,0.496367566,2.8336E-06,0.620761539,8.12699E-10,-0.319406311,0.003877584,-0.57333615,2.72276E-08,0.159206657,0.158365261,0.384635212,0.000427193,-0.171051771,0.129251713,-0.497885119,2.61326E-06,-0.145980301,0.196332247,-0.298748868,0.007106623
PLEKHB2,PLEKHB2,PLEKHB2,55041,brown,-0.509041327,1.42392E-06,-0.414782497,0.000130575,-0.330616956,0.002741719,-0.664304493,1.84273E-11,0.32704737,0.003065922,0.387749146,0.00037992,-0.380308289,0.000501843,-0.103750359,0.359750145,0.633039692,2.96694E-10,0.211510686,0.059645744,-0.609785824,1.92911E-09,0.308307335,0.005397412
NOP9,NOP9,NOP9,161424,brown,0.508584067,1.46042E-06,0.484926016,5.15287E-06,0.483878818,5.43696E-06,0.657838142,3.36283E-11,-0.337186862,0.00222427,-0.449714543,2.85241E-05,0.375639652,0.000595613,0.419537896,0.00010718,-0.434190317,5.72451E-05,-0.387905628,0.000377676,0.264404696,0.017786546,-0.179193039,0.111738215
UBE3C,UBE3C,UBE3C,9690,brown,-0.507898573,1.5168E-06,-0.443678772,3.75474E-05,-0.463879009,1.4658E-05,-0.681636528,3.40767E-12,0.28969216,0.009148575,0.532492984,3.69548E-07,-0.266717447,0.016777676,-0.308061845,0.005436288,0.407154246,0.000178141,0.310033597,0.005130921,-0.323673704,0.003403406,0.329317784,0.002855977
SIAH2,SIAH2,SIAH2,6478,brown,-0.507881533,1.51822E-06,-0.478401443,7.17823E-06,-0.524551166,5.90195E-07,-0.739201737,4.90763E-15,0.296129896,0.00765123,0.643778401,1.18407E-10,-0.270438569,0.015257814,-0.359546315,0.001054611,0.296157098,0.00764539,0.508864555,1.43793E-06,-0.086999147,0.442871208,0.430082811,6.84474E-05
WNT6,WNT6,WNT6,7475,brown,0.507392056,1.55976E-06,0.440753225,4.28187E-05,0.448039115,3.08015E-05,0.665597853,1.63093E-11,-0.232619712,0.037852809,-0.502321269,2.05798E-06,0.212319301,0.05865478,0.293620202,0.00820719,-0.288447044,0.00946608,-0.420413338,0.000103321,-0.032074154,0.777608023,-0.335691998,0.002333606
FLNC,FLNC,FLNC,2318,brown,0.505154562,1.76366E-06,0.474139123,8.88152E-06,0.508601169,1.45904E-06,0.599830034,4.10868E-09,-0.325503781,0.003216433,-0.477322332,7.57784E-06,0.288542541,0.009441391,0.40247341,0.000214761,-0.316100561,0.004284456,-0.412040008,0.000146127,0.101211915,0.371687874,-0.202279488,0.07195246
ALKBH4,ALKBH4,ALKBH4,54784,brown,0.503166401,1.96567E-06,0.620782403,8.11339E-10,0.607696125,2.26578E-09,0.648316782,7.94361E-11,-0.535024139,3.17519E-07,-0.539930177,2.35773E-07,0.44100653,4.23364E-05,0.491050853,3.75135E-06,-0.345411756,0.001700944,-0.205418962,0.067556583,0.062201969,0.583605118,-0.133144024,0.239042169
APAF1,APAF1,APAF1,317,brown,-0.503038121,1.97943E-06,-0.466867786,1.26886E-05,-0.423001571,9.26509E-05,-0.617666243,1.04058E-09,0.358148163,0.001106755,0.278800257,0.01226983,-0.270865276,0.015091373,-0.510653301,1.30199E-06,0.624042977,6.23505E-10,0.149597177,0.185355042,-0.216548548,0.053687989,0.003884563,0.972719357
SEMA6A,SEMA6A,SEMA6A,57556,brown,0.499786885,2.35986E-06,0.444890161,3.5547E-05,0.407544969,0.00017536,0.660375357,2.66048E-11,-0.32653632,0.003115041,-0.362563086,0.000949614,0.282469708,0.011128158,0.376152713,0.000584578,-0.522420994,6.67815E-07,-0.218747209,0.051245213,0.065467851,0.563962496,-0.112695595,0.319594757
ZNF783,ZNF783,ZNF783,100289678,brown,0.499529827,2.39271E-06,0.504600638,1.81789E-06,0.443082324,3.85704E-05,0.616147518,1.17359E-09,-0.442293238,3.99637E-05,-0.422819533,9.33666E-05,0.286654891,0.009939984,0.349250554,0.001497073,-0.363011096,0.000934859,-0.220189076,0.049693361,0.133336633,0.238357218,-0.09681626,0.392921281
HAPLN2,HAPLN2,HAPLN2,60484,brown,0.499066544,2.45299E-06,0.537476079,2.73789E-07,0.484039752,5.39236E-06,0.557901656,7.60233E-08,-0.520603837,7.41556E-07,-0.4423798,3.98086E-05,0.331145643,0.002696407,0.310103532,0.005120375,-0.450289344,2.77796E-05,-0.056551424,0.618308114,0.125716182,0.26650039,-0.188839564,0.093429176
NOX5,NOX5,NOX5,79400,brown,0.498270041,2.55999E-06,0.458224319,1.91885E-05,0.418888617,0.000110128,0.677773578,5.01333E-12,-0.360102014,0.001034513,-0.415380412,0.000127394,0.30966384,0.005187,0.283260893,0.010894497,-0.422212145,9.57919E-05,-0.235649437,0.035354697,0.083780592,0.459990154,-0.229620279,0.040469283
HOXA5,HOXA5,HOXA5,3202,brown,0.497880249,2.61394E-06,0.502997814,1.98377E-06,0.493468163,3.304E-06,0.598726127,4.46087E-09,-0.431565923,6.41868E-05,-0.467974928,1.2024E-05,0.318760625,0.003954238,0.320061235,0.003801188,-0.418122754,0.000113701,-0.213049009,0.057772064,0.326964889,0.003073803,-0.21044678,0.060970273
LPO,LPO,LPO,4025,brown,0.495931257,2.90011E-06,0.449644261,2.86164E-05,0.42708397,7.78751E-05,0.647177172,8.78662E-11,-0.338109095,0.002159135,-0.320513666,0.003749199,0.284697416,0.010481161,0.536682641,2.87274E-07,-0.462361172,1.57643E-05,-0.499522353,2.39367E-06,0.136758279,0.226415245,0.045767535,0.686855567
CD248,CD248,CD248,57124,brown,0.494038957,3.20595E-06,0.396243033,0.000274276,0.37911477,0.000524435,0.749255885,1.3092E-15,-0.190993877,0.089682269,-0.384700529,0.000426149,0.241776068,0.030723051,0.357277128,0.00114041,-0.502316136,2.05855E-06,-0.326970214,0.003073293,0.110685344,0.328358248,-0.20209824,0.072213096
GJD2,GJD2,GJD2,NA,brown,0.493435379,3.30972E-06,0.449964746,2.81977E-05,0.455810913,2.14949E-05,0.745479451,2.16617E-15,-0.337439498,0.002206254,-0.488843154,4.20907E-06,0.333482353,0.002504068,0.375379807,0.000601274,-0.42389284,8.92194E-05,-0.372122308,0.000676533,0.110085336,0.331003258,-0.240750248,0.031460893
IARS2,IARS2,IARS2,55699,brown,-0.492530445,3.47123E-06,-0.346275577,0.001653001,-0.298083961,0.007241553,-0.684106026,2.65416E-12,0.134852887,0.233012588,0.345580055,0.001691506,-0.269519581,0.015621664,-0.326081181,0.003159376,0.452966138,2.45451E-05,0.512271859,1.18951E-06,-0.043732735,0.700099904,0.135725743,0.229973952
EFEMP2,EFEMP2,EFEMP2,NA,brown,0.490708398,3.81914E-06,0.459731619,1.78676E-05,0.459515491,1.80516E-05,0.582139709,1.47982E-08,-0.346754112,0.00162697,-0.498053796,2.58979E-06,0.266568178,0.01684127,0.272742113,0.014377776,-0.255872107,0.021972141,-0.392059698,0.00032237,0.115890686,0.305977863,-0.249380857,0.025694577
AVPR2,AVPR2,AVPR2,554,brown,0.490345458,3.89225E-06,0.424993929,8.51427E-05,0.449352852,2.9002E-05,0.568764071,3.711E-08,-0.272553532,0.014448133,-0.544622908,1.76564E-07,0.47607729,8.06478E-06,0.241859775,0.030663491,-0.221670799,0.048139088,-0.322639697,0.003513284,-0.01552488,0.891282531,-0.362426085,0.000954169
PHKG1,PHKG1,PHKG1,5260,brown,0.489061113,4.16165E-06,0.541033677,2.2036E-07,0.507122573,1.58309E-06,0.594956714,5.89343E-09,-0.460641557,1.71118E-05,-0.388394418,0.000370745,0.392216199,0.00032044,0.468574814,1.16777E-05,-0.336076649,0.00230502,-0.248341307,0.026337789,0.050171679,0.658514528,0.0045753,0.967870804
HACD2,HACD2,HACD2,201562,brown,-0.488730275,4.23383E-06,-0.358282013,0.001101663,-0.280832364,0.011625617,-0.627960453,4.52557E-10,0.220951113,0.048888936,0.271764904,0.014745595,-0.309054071,0.005280667,-0.332483519,0.002584725,0.583872904,1.30963E-08,0.2626729,0.018575721,-0.195980756,0.081463755,0.08376591,0.460069071
PPIP5K2,PPIP5K2,PPIP5K2,23262,brown,-0.488616909,4.25883E-06,-0.366494872,0.000827034,-0.352868128,0.001325431,-0.679435092,4.24933E-12,0.209955084,0.061590439,0.4262383,8.07435E-05,-0.372896711,0.000657902,-0.229640868,0.040450823,0.507840566,1.52166E-06,0.205590596,0.067322651,-0.247615823,0.026794715,0.317853156,0.004064251
GSDMD,GSDMD,GSDMD,79792,brown,0.488294084,4.3308E-06,0.501170196,2.19028E-06,0.441979047,4.05314E-05,0.570493574,3.30263E-08,-0.492460025,3.4841E-06,-0.180733703,0.108640966,0.631557741,3.35857E-10,0.671546484,9.22883E-12,-0.679343772,4.28824E-12,-0.30912265,0.005270058,0.136096743,0.228690811,0.252678269,0.023741778
SNAPC2,SNAPC2,SNAPC2,NA,brown,0.487906259,4.41876E-06,0.595167965,5.80272E-09,0.588153648,9.65516E-09,0.633650508,2.81859E-10,-0.514530509,1.04779E-06,-0.435713357,5.35431E-05,0.575767748,2.30488E-08,0.600988176,3.76776E-09,-0.467574566,1.22605E-05,-0.30438983,0.006048101,0.090889295,0.422665415,-0.015738343,0.889796988
BMP10,BMP10,BMP10,27302,brown,0.486886369,4.65815E-06,0.381992733,0.000471469,0.348925341,0.001513446,0.63801692,1.9469E-10,-0.275729866,0.013301985,-0.382866012,0.000456393,0.207509349,0.064751708,0.272592957,0.0144334,-0.400313711,0.000233893,-0.36893033,0.000758511,0.109124157,0.33526849,-0.15664389,0.165259672
BTC,BTC,BTC,685,brown,0.485143065,5.09576E-06,0.407226874,0.000177621,0.280714186,0.011662259,0.481098921,6.26403E-06,-0.373567741,0.000642138,-0.232039054,0.038348013,0.259737942,0.019981819,0.17575449,0.118896882,-0.483114418,5.65353E-06,0.024398162,0.829906704,0.241172941,0.031155077,0.016427801,0.885001496
MSN,MSN,MSN,4478,brown,-0.482882695,5.72077E-06,-0.465219465,1.37418E-05,-0.525958402,5.43681E-07,-0.676725946,5.56113E-12,0.259719257,0.019991055,0.618576811,9.6787E-10,-0.241421153,0.030976666,-0.325951018,0.003172159,0.25962741,0.020036506,0.478316193,7.20906E-06,-0.162843403,0.148951377,0.462050364,1.60003E-05
CD46,CD46,CD46,4179,brown,-0.482296997,5.89407E-06,-0.443207951,3.83528E-05,-0.451094591,2.67671E-05,-0.4966911,2.78521E-06,0.391684781,0.000327038,0.309122335,0.005270107,-0.289454502,0.009208448,-0.349578797,0.001480709,0.491479699,3.66804E-06,-0.016639933,0.883526845,-0.266661831,0.016801346,0.121721015,0.28211668
GRWD1,GRWD1,GRWD1,83743,brown,0.482266229,5.90331E-06,0.579863476,1.73551E-08,0.535546914,3.07675E-07,0.617854102,1.02516E-09,-0.561715904,5.92722E-08,-0.508531102,1.46471E-06,0.487377513,4.54138E-06,0.333738256,0.002483771,-0.461077722,1.67602E-05,-0.094734294,0.403224819,0.249885129,0.025387394,-0.219232931,0.050718057
TFDP2,TFDP2,TFDP2,7029,brown,0.482131729,5.94386E-06,0.480072754,6.59811E-06,0.440640531,4.30349E-05,0.635595221,2.39209E-10,-0.397571584,0.000260441,-0.420941096,0.000101057,0.388439509,0.000370112,0.262199826,0.018796454,-0.410389612,0.000156293,-0.118764039,0.294059176,0.157304129,0.16346266,-0.208224169,0.063814469
RALGAPB,RALGAPB,RALGAPB,57148,brown,-0.481981705,5.98939E-06,-0.4741463,8.87835E-06,-0.470092501,1.08428E-05,-0.655136505,4.30508E-11,0.385332906,0.000416156,0.561079163,6.18003E-08,-0.477151128,7.64312E-06,-0.260584542,0.019567171,0.428383472,7.3651E-05,0.33937396,0.00207259,-0.154184054,0.172083153,0.406243468,0.00018478
H2AX,H2AX,H2AX,3014,brown,0.481437872,6.15721E-06,0.443543498,3.77772E-05,0.383757424,0.00044146,0.487864444,4.42834E-06,-0.41339429,0.000138245,-0.140888829,0.212564909,0.263082058,0.018386608,0.494218296,3.17572E-06,-0.653215245,5.12405E-11,-0.298655244,0.007125487,0.687806219,1.8168E-12,0.178612087,0.112923699
BRD9,BRD9,BRD9,65980,brown,0.480235803,6.54394E-06,0.442009979,4.04751E-05,0.439092521,4.61093E-05,0.633198148,2.92775E-10,-0.293690585,0.008191128,-0.34071913,0.001983985,0.446338546,3.32855E-05,0.531610464,3.89513E-07,-0.432472729,6.17045E-05,-0.439550705,4.51787E-05,0.075547096,0.505390781,0.008911885,0.937464261
NPRL2,NPRL2,NPRL2,10641,brown,0.477609135,7.46964E-06,0.503071407,1.97585E-06,0.512603314,1.16764E-06,0.587011178,1.0478E-08,-0.372518434,0.000666944,-0.382048961,0.000470485,0.242379099,0.030296149,0.63166308,3.32917E-10,-0.407969286,0.000172386,-0.504761098,1.80202E-06,0.154001447,0.172597818,0.062550696,0.581492871
SERPINB13,SERPINB13,SERPINB13,5275,brown,0.477058625,7.67862E-06,0.473759869,9.05014E-06,0.461102475,1.67404E-05,0.591998234,7.31496E-09,-0.415806094,0.000125173,-0.441081446,4.21947E-05,0.410958359,0.000152719,0.329695155,0.002822357,-0.305627331,0.005835443,-0.089392899,0.430374411,0.090247139,0.425963857,-0.16243418,0.149989256
EGFL7,EGFL7,EGFL7,51162,brown,0.475491919,8.30372E-06,0.492913741,3.40193E-06,0.460821573,1.69658E-05,0.679573005,4.19121E-12,-0.389147652,0.000360292,-0.410743716,0.000154059,0.303182951,0.006262062,0.3925629,0.000316201,-0.489435217,4.08142E-06,-0.26499242,0.017525351,0.219300266,0.050645331,-0.117713925,0.298379154
CLCA1,CLCA1,CLCA1,1179,brown,0.475163112,8.44082E-06,0.431560367,6.42023E-05,0.41637072,0.000122282,0.675280265,6.41224E-12,-0.321440999,0.003644615,-0.515538939,9.89796E-07,0.279389641,0.012079867,0.172217223,0.126623684,-0.373931231,0.000633744,-0.174797864,0.120949846,0.188065464,0.094805223,-0.344782509,0.001736654
HTATSF1,HTATSF1,HTATSF1,27336,brown,-0.474742147,8.61945E-06,-0.385886606,0.000407584,-0.341432628,0.001938384,-0.705071476,2.86979E-13,0.269467865,0.01564236,0.498052955,2.5899E-06,-0.291903441,0.008607625,-0.14654392,0.194591626,0.39963672,0.000240205,0.372086711,0.000677401,-0.065824096,0.561838904,0.344547529,0.001750161
CIDEA,CIDEA,CIDEA,1149,brown,0.47429419,8.81342E-06,0.46954559,1.1137E-05,0.50931754,1.40229E-06,0.625908731,5.35552E-10,-0.334504377,0.002423883,-0.516748773,9.2422E-07,0.360351827,0.001025591,0.375123581,0.000606904,-0.241656812,0.030808073,-0.331433806,0.002671993,0.048849894,0.666972186,-0.245562515,0.028124467
NPBWR2,NPBWR2,NPBWR2,2832,brown,0.474240579,8.83691E-06,0.469799966,1.09992E-05,0.455968322,2.13369E-05,0.542568064,2.00508E-07,-0.443358851,3.8093E-05,-0.544448795,1.78483E-07,0.44930329,2.90681E-05,0.199194621,0.076492807,-0.257249198,0.021244576,-0.226299466,0.043539737,0.157759451,0.162231828,-0.306442881,0.005698934
PRELP,PRELP,PRELP,5549,brown,0.474122008,8.88906E-06,0.399456609,0.000241911,0.394450265,0.000294016,0.613868792,1.40405E-09,-0.274412999,0.013767228,-0.451357659,2.64438E-05,0.270547818,0.01521505,0.32503855,0.003263073,-0.321601174,0.003626816,-0.347995179,0.001561174,0.067333945,0.552880934,-0.215957874,0.054360247
VMP1,VMP1,VMP1,81671,brown,-0.473959435,8.96104E-06,-0.353472054,0.001298577,-0.276838046,0.012921091,-0.522731066,6.55946E-07,0.305727705,0.005818487,0.153444112,0.174175606,-0.487516341,4.50888E-06,-0.287665911,0.009670151,0.699005375,5.57051E-13,0.203494689,0.070224447,-0.562224634,5.73232E-08,0.006667768,0.953190783
GATA1,GATA1,GATA1,2623,brown,0.473187631,9.31025E-06,0.434567106,5.63078E-05,0.380208566,0.000503696,0.693364424,1.01719E-12,-0.349675128,0.001475938,-0.408587375,0.000168137,0.437233273,5.00714E-05,0.244564756,0.028790505,-0.536493459,2.90581E-07,0.047076008,0.678388053,0.122956977,0.2772219,-0.202444445,0.071715906
SRR,SRR,SRR,63826,brown,0.472592375,9.58824E-06,0.378954794,0.000527533,0.333241081,0.002523341,0.637322478,2.06571E-10,-0.267557012,0.01642383,-0.504092541,1.869E-06,0.197480804,0.079112523,0.053256602,0.638942546,-0.344220212,0.001769134,-0.276338061,0.013091753,0.23855142,0.03309276,-0.42255409,9.44194E-05
SIX1,SIX1,SIX1,6495,brown,0.472051593,9.84751E-06,0.461248081,1.66247E-05,0.475123671,8.45741E-06,0.668135134,1.28129E-11,-0.323970376,0.003372452,-0.375856569,0.000590924,0.466608095,1.28493E-05,0.493522053,3.29463E-06,-0.466274939,1.30584E-05,-0.349057812,0.001506757,0.097174747,0.391163074,-0.097384581,0.390136117
YIF1B,YIF1B,YIF1B,90522,brown,0.472033999,9.85606E-06,0.506852736,1.60677E-06,0.483860499,5.44205E-06,0.608369556,2.15159E-09,-0.44137764,4.1639E-05,-0.47380303,9.0308E-06,0.349005637,0.001509389,0.353811201,0.001283714,-0.335689434,0.002333797,-0.292591095,0.008445219,0.049636603,0.661933213,-0.160231291,0.155669362
RIN2,RIN2,RIN2,54453,brown,-0.469134462,1.13631E-05,-0.45959578,1.7983E-05,-0.365578079,0.000854254,-0.582989181,1.39393E-08,0.480595706,6.42582E-06,0.25668366,0.021540841,-0.373808369,0.00063657,-0.377698024,0.000552458,0.656345194,3.85585E-11,0.267705616,0.016361873,-0.519097131,8.08464E-07,-0.090545157,0.424431253
KIF13B,KIF13B,KIF13B,NA,brown,-0.468561936,1.16851E-05,-0.410597998,0.000154975,-0.295536279,0.007779653,-0.464030486,1.45517E-05,0.332454478,0.002587104,0.379694464,0.000513348,-0.001830654,0.987141711,-0.063038405,0.578544702,0.312812713,0.004726342,0.172594414,0.125781936,-0.147556614,0.191492079,0.249601397,0.025559847
MICAL2,MICAL2,MICAL2,9645,brown,-0.467074415,1.2562E-05,-0.509980052,1.35166E-06,-0.521014193,7.24261E-07,-0.473617761,9.11409E-06,0.513009029,1.14138E-06,0.531864545,3.83663E-07,-0.452723968,2.48226E-05,-0.242989864,0.029868875,0.245999291,0.027837029,0.009641296,0.932357488,-0.331804171,0.002640905,0.352790029,0.00132894
NDUFAF4,NDUFAF4,NDUFAF4,NA,brown,-0.466192507,1.31106E-05,-0.410745639,0.000154047,-0.28620722,0.010061549,-0.453177311,2.43055E-05,0.42036516,0.00010353,0.243107911,0.029786882,-0.321039245,0.003689601,-0.197029052,0.07981485,0.413716507,0.000136429,0.024208498,0.831209355,-0.082294002,0.468017987,-0.006112575,0.957084507
HOXD3,HOXD3,HOXD3,3232,brown,0.465473669,1.35742E-05,0.371255456,0.000697957,0.224759565,0.045027683,0.608193849,2.18084E-09,-0.332210882,0.002607141,-0.249985897,0.025326385,0.096205137,0.395929351,0.150749016,0.181954498,-0.625213251,5.66852E-10,-0.150849228,0.181660805,0.258286585,0.020710169,-0.100949768,0.372934266
MOS,MOS,MOS,4342,brown,0.464673805,1.41081E-05,0.513071951,1.13736E-06,0.468540507,1.16973E-05,0.615085513,1.2761E-09,-0.504370617,1.84086E-06,-0.40991344,0.000159345,0.462782837,1.54494E-05,0.325046663,0.003262254,-0.466416203,1.29693E-05,-0.075258361,0.507023817,0.184140054,0.102029738,-0.14968992,0.185079546
APBB1,APBB1,APBB1,322,brown,0.463792933,1.47188E-05,0.389004037,0.000362264,0.295248973,0.007842486,0.647726462,8.37011E-11,-0.305086265,0.005927595,-0.256915312,0.021419063,0.310857217,0.005007934,0.298836986,0.007088908,-0.60850141,2.12988E-09,-0.133814849,0.236662478,0.225819892,0.043998699,0.013807801,0.903245292
KRT75,KRT75,KRT75,NA,brown,0.462689657,1.55185E-05,0.402380544,0.000215553,0.339880213,0.002038834,0.56019996,6.54599E-08,-0.394709849,0.00029108,-0.329923189,0.002802213,0.330942092,0.002713772,0.219379883,0.050559449,-0.444677698,3.58905E-05,-0.399766267,0.000238985,0.204885796,0.068287454,-0.118427462,0.295439289
FAM110D,FAM110D,FAM110D,NA,brown,0.462238562,1.5857E-05,0.514503485,1.04938E-06,0.503230369,1.95885E-06,0.662067517,2.27279E-11,-0.447802194,3.11369E-05,-0.486375232,4.78266E-06,0.401784531,0.000220701,0.398230136,0.000253824,-0.431291204,6.4957E-05,-0.166721641,0.139380749,0.082240031,0.468310868,-0.201059366,0.073721666
ZNF667,ZNF667,ZNF667,63934,brown,0.460298481,1.73932E-05,0.344482615,0.001753909,0.338905331,0.002104284,0.443115738,3.85124E-05,-0.236924875,0.034345114,-0.26605797,0.017060205,0.127197734,0.260860486,0.254726817,0.022593327,-0.366366437,0.000830799,-0.17151373,0.128205095,0.14963756,0.185235047,-0.135540804,0.230615455
SLC25A23,SLC25A23,SLC25A23,79085,brown,0.458826741,1.865E-05,0.455581368,2.17273E-05,0.46209932,1.59629E-05,0.619626574,8.90074E-10,-0.386712652,0.000395095,-0.462955312,1.53223E-05,0.431060418,6.56105E-05,0.309442725,0.005220794,-0.414958729,0.00012963,-0.161942205,0.15124416,0.180267375,0.109571329,-0.244598522,0.028767749
FAM20B,FAM20B,FAM20B,9917,brown,-0.458030362,1.9365E-05,-0.388910709,0.000363551,-0.373747055,0.000637984,-0.584736964,1.23191E-08,0.218880925,0.051099644,0.371553831,0.000690514,-0.241781989,0.030718835,-0.352080332,0.001361215,0.422561645,9.43893E-05,0.259932165,0.019886033,0.044796141,0.693166826,0.163559162,0.147148998
STX6,STX6,STX6,10228,brown,-0.456275991,2.10313E-05,-0.332225641,0.002605923,-0.318592403,0.00397443,-0.620557743,8.26101E-10,0.18489121,0.100615015,0.45377146,2.3643E-05,-0.200603901,0.074390975,-0.154097903,0.172325823,0.404286591,0.000199823,0.409468699,0.000162246,-0.377240544,0.000561795,0.408348178,0.00016977
