,substanceBXH,geneSymbol,LocusLinkID,moduleColor,GS.Factor,p.GS.Factor,MM.grey,p.MM.grey,MM.blue,p.MM.blue,MM.brown,p.MM.brown,MM.greenyellow,p.MM.greenyellow,MM.pink,p.MM.pink,MM.salmon,p.MM.salmon,MM.tan,p.MM.tan,MM.magenta,p.MM.magenta,MM.black,p.MM.black,MM.green,p.MM.green,MM.turquoise,p.MM.turquoise
SMAP1,SMAP1,SMAP1,60682,grey,0.335453312,0.002351503,0.394614221,0.000292158,0.418229566,0.000113196,0.006360462,0.955345873,-0.451555425,2.62032E-05,-0.209599044,0.062042695,0.22839792,0.041577861,0.318971304,0.00392908,0.089903921,0.42773282,-0.099909892,0.377903362,-0.0427411,0.70658723,0.077982441,0.491725667
STEAP4,STEAP4,STEAP4,79689,grey,-0.335412582,0.002354569,-0.284000796,0.010679862,-0.16479274,0.144081128,-0.373574534,0.00064198,0.312679756,0.004745032,-0.117524405,0.29916321,-0.187624064,0.095596959,-0.373719349,0.000638625,0.67799411,4.90482E-12,0.082789064,0.465336151,-0.407939347,0.000172595,-0.403206974,0.000208598
POGZ,POGZ,POGZ,23126,grey,0.33532785,0.00236096,0.405056002,0.000193779,0.339492851,0.002064617,0.439775092,4.47293E-05,-0.445638285,3.43616E-05,-0.338884224,0.002105722,0.321760052,0.003609238,0.127721701,0.258885395,-0.384412684,0.00043077,-0.096779917,0.39309979,0.292874226,0.008379136,-0.130451017,0.248761735
MAGEA9,MAGEA9,MAGEA9,4108,grey,-0.335171753,0.002372774,-0.48690952,4.65258E-06,-0.480470639,6.46664E-06,-0.163276551,0.147858687,0.497427095,2.678E-06,0.211984978,0.059062857,-0.184056884,0.10218733,-0.520085928,7.63942E-07,0.088621142,0.434381348,0.027064142,0.811646195,0.156736687,0.165006223,-0.235743561,0.035279354
MAGED4,MAGED4,MAGED4,728239,grey,0.335106643,0.002377717,0.272002625,0.014655376,0.337114944,0.002229423,0.350644856,0.001428672,-0.181995227,0.10615483,-0.430835642,6.6253E-05,0.206768938,0.065734211,0.186258743,0.098078819,-0.068064529,0.548571166,-0.298412987,0.007174505,0.081331323,0.473256936,-0.325918016,0.003175407
DNAH3,DNAH3,DNAH3,55567,grey,0.335049492,0.002382064,0.272026908,0.014646188,0.254322841,0.022815978,0.442718275,3.92075E-05,-0.232155434,0.03824833,-0.305102672,0.005924782,0.289361034,0.009232089,0.064097637,0.572165553,-0.30009122,0.006840945,-0.06830565,0.547152357,0.100104211,0.376971774,-0.216794742,0.053409808
GUCA1B,GUCA1B,GUCA1B,2979,grey,-0.33493152,0.002391059,-0.441658203,4.11188E-05,-0.416335284,0.000122462,-0.290533847,0.008939262,0.483153498,5.64226E-06,0.2881854,0.009534011,-0.472856769,9.46382E-06,-0.409637523,0.000161139,0.119741665,0.290074549,0.117202969,0.300496092,0.001486942,0.98955575,-0.113992431,0.314021712
ATF6B,ATF6B,ATF6B,1388,grey,-0.334785024,0.002402271,-0.460644872,1.71091E-05,-0.508546879,1.46343E-06,-0.29286632,0.008380975,0.454177517,2.32E-05,0.421960786,9.68125E-05,-0.336008099,0.002310091,-0.397830344,0.000257823,-0.031329133,0.782644991,0.255096694,0.022391096,0.068255506,0.547447268,0.061483613,0.58796723
CELF1,CELF1,CELF1,10658,grey,-0.334740743,0.00240567,-0.366559889,0.000825133,-0.43951084,4.52589E-05,-0.269154291,0.015768357,0.294020162,0.008116282,0.417212118,0.000118089,-0.311364607,0.004933476,-0.163520156,0.147246796,-0.022928735,0.840010785,0.115604269,0.307182898,-0.077542381,0.494180429,0.293926004,0.008137603
ZNF281,ZNF281,ZNF281,23528,grey,0.334605807,0.002416052,0.345079829,0.001719698,0.252292853,0.023963309,0.192706021,0.086789861,-0.420447838,0.000103171,0.050285073,0.657790928,0.231242456,0.039036151,0.409126779,0.000164508,-0.351415376,0.001392097,-0.130198364,0.249687314,0.070117492,0.536548382,0.445629194,3.43758E-05
